gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Random Sampling,,,satified Sampling,,,,,,,,,,Cluster sampling,,
female,group B,associate's degree,standard,completed,59,70,66,0.533825024,,,,,,,,,,,,,,,
female,group C,some college,standard,none,83,83,90,0.541315768,,,,,,,,,,,,,,,
female,group D,associate's degree,free/reduced,none,43,60,58,0.542331806,,,,,,,,,,,,,,,
female,group E,some college,free/reduced,completed,75,88,85,0.544095088,,,,,,,,,,,,,,,
female,group A,some high school,free/reduced,none,44,64,58,0.544109348,,,,,,,,,,,,,,,
female,group D,some high school,free/reduced,none,67,84,84,0.551271599,,,,,,,,,,,,,,,
female,group E,some high school,free/reduced,none,32,34,38,0.551381022,,,,,,,,,,,,,,,
female,group C,some high school,standard,none,49,63,56,0.552471945,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,completed,55,72,79,0.55609675,,,,,,,,,,,,,,,
female,group C,some high school,free/reduced,completed,50,60,60,0.556828842,,,,,,,,,,,,,,,
female,group B,some high school,free/reduced,completed,59,63,64,0.565004696,,,,,,,,,,,,,,,
female,group C,bachelor's degree,standard,none,77,88,87,0.565611261,,,,,,,,,,,,,,,
female,group C,associate's degree,free/reduced,none,57,78,67,0.565861463,,,,,,,,,,,,,,,
female,group C,some college,free/reduced,none,32,39,33,0.573574245,,,,,,,,,,,,,,,
female,group D,some college,standard,none,77,68,77,0.573650585,,,,,,,,,,,,,,,
female,group E,master's degree,standard,none,81,92,91,0.574842679,,,,,,,,,,,,,,,
female,group E,some college,free/reduced,completed,42,55,54,0.575567983,,,,,,,,,,,,,,,
female,group B,some high school,standard,none,37,46,46,0.577368512,,,,,,,,,,,,,,,
female,group C,some high school,free/reduced,completed,64,79,77,0.577558602,,,,,,,,,,,,,,,
female,group B,some high school,standard,completed,60,70,74,0.579141222,,,,,,,,,,,,,,,
female,group D,master's degree,standard,none,78,91,96,0.583138262,,,,,,,,,,,,,,,
female,group E,bachelor's degree,standard,completed,79,81,82,0.58606725,,,,,,,,,,,,,,,
female,group B,some college,standard,none,70,75,78,0.586693342,,,,,,,,,,,,,,,
female,group C,high school,free/reduced,none,36,53,43,0.591208288,,,,,,,,,,,,,,,
female,group B,some college,free/reduced,none,61,68,66,0.592109015,,,,,,,,,,,,,,,
female,group C,some college,free/reduced,none,46,64,66,0.595870734,,,,,,,,,,,,,,,
female,group B,master's degree,standard,none,77,90,84,0.597408154,,,,,,,,,,,,,,,
female,group C,some college,standard,none,60,72,74,0.597498351,,,,,,,,,,,,,,,
female,group A,high school,free/reduced,completed,53,50,60,0.603191936,,,,,,,,,,,,,,,
female,group A,bachelor's degree,standard,none,59,72,70,0.603906627,,,,,,,,,,,,,,,
female,group D,some high school,standard,none,48,58,54,0.612146025,,,,,,,,,,,,,,,
female,group E,associate's degree,standard,none,100,100,100,0.61267577,,,,,,,,,,,,,,,
female,group C,high school,free/reduced,none,66,76,68,0.616182006,,,,,,,,,,,,,,,
female,group D,associate's degree,standard,none,76,74,73,0.617674694,,,,,,,,,,,,,,,
female,group C,high school,standard,none,54,59,62,0.620226496,,,,,,,,,,,,,,,
female,group D,some college,standard,none,74,89,84,0.620544024,,,,,,,,,,,,,,,
female,group C,some college,standard,none,58,67,72,0.624588333,,,,,,,,,,,,,,,
female,group D,high school,free/reduced,none,39,52,46,0.626293942,,,,,,,,,,,,,,,
female,group A,some high school,standard,completed,92,100,97,0.627288592,,,,,,,,,,,,,,,
female,group D,some college,free/reduced,none,55,71,69,0.636463185,,,,,,,,,,,,,,,
female,group E,associate's degree,free/reduced,none,73,76,78,0.641116807,,,,,,,,,,,,,,,
female,group B,bachelor's degree,free/reduced,none,77,85,87,0.641222271,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,none,65,76,76,0.642173989,,,,,,,,,,,,,,,
female,group D,master's degree,standard,none,54,60,63,0.644192463,,,,,,,,,,,,,,,
female,group D,some college,free/reduced,completed,63,80,80,0.646713821,,,,,,,,,,,,,,,
female,group D,master's degree,standard,completed,70,71,74,0.647984012,,,,,,,,,,,,,,,
female,group E,some college,standard,none,76,78,80,0.649036923,,,,,,,,,,,,,,,
female,group C,some college,free/reduced,completed,45,73,70,0.653252805,,,,,,,,,,,,,,,
female,group D,associate's degree,standard,none,74,81,83,0.65527915,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,none,66,77,73,0.655983363,,,,,,,,,,,,,,,
female,group B,some high school,standard,none,82,82,80,0.661795254,,,,,,,,,,,,,,,
female,group D,high school,standard,completed,57,58,64,0.663715183,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,completed,74,75,83,0.665101331,,,,,,,,,,,,,,,
female,group B,some college,standard,none,79,86,92,0.666103739,,,,,,,,,,,,,,,
female,group E,some college,standard,completed,73,78,76,0.666198537,,,,,,,,,,,,,,,
female,group C,high school,standard,none,76,76,74,0.667068397,,,,,,,,,,,,,,,
female,group E,some college,standard,none,87,85,93,0.668035361,,,,,,,,,,,,,,,
female,group D,master's degree,standard,none,74,79,82,0.670177245,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,none,69,80,71,0.670325195,,,,,,,,,,,,,,,
female,group E,some high school,free/reduced,none,38,49,45,0.671581106,,,,,,,,,,,,,,,
female,group D,some college,free/reduced,completed,59,78,76,0.67215678,,,,,,,,,,,,,,,
female,group E,some high school,standard,none,77,79,80,0.678151181,,,,,,,,,,,,,,,
female,group A,high school,free/reduced,completed,77,88,85,0.67911003,,,,,,,,,,,,,,,
female,group E,some college,standard,none,62,73,70,0.681864737,,,,,,,,,,,,,,,
female,group C,bachelor's degree,standard,completed,52,61,66,0.682189753,,,,,,,,,,,,,,,
female,group D,some high school,standard,none,73,84,85,0.685303008,,,,,,,,,,,,,,,
female,group D,master's degree,standard,none,87,100,100,0.692003925,,,,,,,,,,,,,,,
female,group B,bachelor's degree,standard,none,72,72,74,0.692174021,,,,,,,,,,,,,,,
female,group D,high school,standard,completed,88,99,100,0.695324117,,,,,,,,,,,,,,,
female,group D,some college,free/reduced,none,77,86,86,0.695596236,,,,,,,,,,,,,,,
female,group B,high school,standard,none,48,62,60,0.695915382,,,,,,,,,,,,,,,
female,group B,associate's degree,standard,none,47,49,50,0.698457991,,,,,,,,,,,,,,,
female,group A,associate's degree,standard,none,82,93,93,0.69903007,,,,,,,,,,,,,,,
female,group D,some college,standard,none,51,58,54,0.704745751,,,,,,,,,,,,,,,
female,group B,some high school,standard,none,66,69,68,0.706612089,,,,,,,,,,,,,,,
female,group B,high school,standard,none,50,53,55,0.708323719,,,,,,,,,,,,,,,
female,group A,some high school,standard,completed,59,85,80,0.710972445,,,,,,,,,,,,,,,
female,group B,associate's degree,free/reduced,completed,76,94,87,0.715786254,,,,,,,,,,,,,,,
female,group C,some college,standard,completed,70,89,88,0.718230631,,,,,,,,,,,,,,,
female,group A,some college,free/reduced,none,49,65,55,0.718345372,,,,,,,,,,,,,,,
female,group C,some high school,standard,none,69,75,78,0.719122548,,,,,,,,,,,,,,,
female,group B,associate's degree,standard,completed,52,66,73,0.723626636,,,,,,,,,,,,,,,
female,group B,associate's degree,standard,none,73,76,80,0.729335553,,,,,,,,,,,,,,,
female,group E,associate's degree,standard,none,84,95,92,0.73022886,,,,,,,,,,,,,,,
female,group B,high school,standard,none,58,62,59,0.730934561,,,,,,,,,,,,,,,
female,group A,some college,standard,none,58,70,67,0.732924341,,,,,,,,,,,,,,,
female,group C,some college,free/reduced,completed,67,75,70,0.733227431,,,,,,,,,,,,,,,
female,group B,associate's degree,free/reduced,none,46,61,55,0.738592428,,,,,,,,,,,,,,,
female,group D,master's degree,standard,completed,77,82,91,0.744009841,,,,,,,,,,,,,,,
female,group C,some college,free/reduced,completed,63,73,71,0.746170863,,,,,,,,,,,,,,,
female,group C,some college,standard,none,54,48,52,0.746393184,,,,,,,,,,,,,,,
female,group C,high school,standard,none,61,73,63,0.748492294,,,,,,,,,,,,,,,
female,group C,bachelor's degree,standard,completed,59,64,75,0.748636995,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,none,39,64,57,0.748784057,,,,,,,,,,,,,,,
female,group D,some high school,free/reduced,none,50,64,59,0.748897842,,,,,,,,,,,,,,,
female,group D,associate's degree,standard,none,71,71,74,0.752317856,,,,,,,,,,,,,,,
female,group B,high school,standard,none,81,91,89,0.754163507,,,,,,,,,,,,,,,
female,group C,high school,free/reduced,none,62,67,64,0.75440948,,,,,,,,,,,,,,,
female,group E,master's degree,free/reduced,none,81,86,87,0.759356119,,,,,,,,,,,,,,,
female,group D,some college,standard,completed,82,97,96,0.762714769,,,,,,,,,,,,,,,
female,group A,some high school,standard,completed,85,90,92,0.763053137,,,,,,,,,,,,,,,
female,group A,master's degree,free/reduced,none,50,67,73,0.763831156,,,,,,,,,,,,,,,
female,group B,associate's degree,standard,none,73,83,76,0.76406935,,,,,,,,,,,,,,,
female,group E,high school,free/reduced,none,57,58,57,0.765602854,,,,,,,,,,,,,,,
female,group D,associate's degree,standard,none,64,76,74,0.766363487,,,,,,,,,,,,,,,
female,group D,bachelor's degree,standard,none,89,100,100,0.768784833,,,,,,,,,,,,,,,
female,group E,bachelor's degree,free/reduced,none,61,58,62,0.769065184,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,completed,68,86,84,0.773097451,,,,,,,,,,,,,,,
female,group C,high school,standard,completed,58,75,77,0.775274832,,,,,,,,,,,,,,,
female,group D,master's degree,standard,none,62,70,75,0.775880034,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,completed,68,67,73,0.776969847,,,,,,,,,,,,,,,
female,group D,associate's degree,standard,none,65,69,70,0.782066392,,,,,,,,,,,,,,,
female,group D,bachelor's degree,standard,completed,68,75,81,0.785163899,,,,,,,,,,,,,,,
female,group C,some high school,standard,none,69,73,73,0.785498001,,,,,,,,,,,,,,,
female,group C,bachelor's degree,free/reduced,completed,66,83,83,0.785892967,,,,,,,,,,,,,,,
female,group A,high school,standard,none,55,73,73,0.786512531,,,,,,,,,,,,,,,
female,group D,high school,standard,none,78,81,80,0.786748742,,,,,,,,,,,,,,,
female,group D,bachelor's degree,free/reduced,completed,93,100,100,0.787599297,,,,,,,,,,,,,,,
female,group C,some college,standard,none,53,62,56,0.78830514,,,,,,,,,,,,,,,
female,group C,bachelor's degree,free/reduced,none,67,75,72,0.78845648,,,,,,,,,,,,,,,
female,group B,some high school,free/reduced,completed,63,78,79,0.788735547,,,,,,,,,,,,,,,
female,group B,high school,standard,completed,58,70,68,0.789397934,,,,,,,,,,,,,,,
female,group D,some college,free/reduced,none,71,83,83,0.79061878,,,,,,,,,,,,,,,
female,group E,associate's degree,free/reduced,none,50,56,54,0.793284415,,,,,,,,,,,,,,,
female,group E,associate's degree,free/reduced,completed,83,86,88,0.793431714,,,,,,,,,,,,,,,
female,group C,bachelor's degree,standard,completed,92,100,99,0.794101467,,,,,,,,,,,,,,,
female,group C,high school,standard,none,81,84,82,0.79553349,,,,,,,,,,,,,,,
female,group B,high school,free/reduced,none,38,60,50,0.798926857,,,,,,,,,,,,,,,
female,group B,associate's degree,standard,none,80,86,83,0.800238274,,,,,,,,,,,,,,,
female,group E,associate's degree,standard,none,68,76,67,0.805307307,,,,,,,,,,,,,,,
female,group C,high school,free/reduced,none,35,61,54,0.806672077,,,,,,,,,,,,,,,
female,group D,some high school,standard,none,59,58,59,0.807515438,,,,,,,,,,,,,,,
female,group C,some high school,free/reduced,none,65,86,80,0.807878665,,,,,,,,,,,,,,,
female,group D,high school,standard,none,69,72,77,0.815417099,,,,,,,,,,,,,,,
female,group D,some college,standard,none,69,74,74,0.815652926,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,none,46,58,57,0.818418291,,,,,,,,,,,,,,,
female,group B,some high school,standard,completed,32,51,44,0.818498391,,,,,,,,,,,,,,,
female,group E,associate's degree,standard,none,51,51,54,0.81895757,,,,,,,,,,,,,,,
female,group C,some college,standard,none,73,76,78,0.819058507,,,,,,,,,,,,,,,
female,group B,some high school,standard,none,41,55,51,0.822307394,,,,,,,,,,,,,,,
female,group D,bachelor's degree,standard,none,78,82,79,0.825015803,,,,,,,,,,,,,,,
female,group B,bachelor's degree,standard,none,61,72,70,0.825927136,,,,,,,,,,,,,,,
female,group B,associate's degree,standard,completed,94,87,92,0.829652632,,,,,,,,,,,,,,,
female,group E,bachelor's degree,standard,completed,71,70,70,0.833729014,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,completed,52,59,62,0.835256488,,,,,,,,,,,,,,,
female,group C,bachelor's degree,standard,completed,79,92,89,0.837750552,,,,,,,,,,,,,,,
female,group D,some high school,standard,completed,66,78,78,0.83974273,,,,,,,,,,,,,,,
female,group D,some college,standard,completed,74,75,79,0.842792599,,,,,,,,,,,,,,,
female,group B,some college,free/reduced,completed,53,66,73,0.843981742,,,,,,,,,,,,,,,
female,group D,some college,standard,none,65,70,71,0.844144076,,,,,,,,,,,,,,,
female,group A,associate's degree,standard,completed,65,70,74,0.845647172,,,,,,,,,,,,,,,
female,group C,some college,free/reduced,none,22,39,33,0.846351662,,,,,,,,,,,,,,,
female,group D,some high school,standard,none,80,90,82,0.847452522,,,,,,,,,,,,,,,
female,group D,some high school,standard,none,73,86,82,0.84931819,,,,,,,,,,,,,,,
female,group E,some college,standard,none,61,64,62,0.850395992,,,,,,,,,,,,,,,
female,group C,high school,standard,none,75,88,85,0.853703516,,,,,,,,,,,,,,,
female,group C,some college,standard,completed,75,81,84,0.855610995,,,,,,,,,,,,,,,
female,group E,some college,standard,completed,86,85,91,0.857735326,,,,,,,,,,,,,,,
female,group D,associate's degree,free/reduced,none,55,76,76,0.864196039,,,,,,,,,,,,,,,
female,group B,high school,free/reduced,none,60,72,68,0.864406555,,,,,,,,,,,,,,,
female,group D,high school,standard,none,62,64,64,0.867279015,,,,,,,,,,,,,,,
female,group E,associate's degree,standard,none,66,65,69,0.867986825,,,,,,,,,,,,,,,
female,group C,bachelor's degree,free/reduced,completed,74,86,89,0.871699097,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,none,91,95,94,0.871935226,,,,,,,,,,,,,,,
female,group E,associate's degree,standard,completed,95,89,92,0.87438767,,,,,,,,,,,,,,,
female,group C,some college,free/reduced,none,76,83,88,0.878222005,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,none,62,74,70,0.882748748,,,,,,,,,,,,,,,
female,group B,some high school,free/reduced,none,24,38,27,0.887344652,,,,,,,,,,,,,,,
female,group C,some high school,free/reduced,none,48,58,52,0.888594635,,,,,,,,,,,,,,,
female,group B,high school,free/reduced,none,8,24,23,0.890906346,,,,,,,,,,,,,,,
female,group A,associate's degree,standard,completed,55,65,62,0.893649726,,,,,,,,,,,,,,,
female,group C,some high school,standard,none,63,73,68,0.897361898,,,,,,,,,,,,,,,
female,group C,some college,standard,none,72,72,71,0.898983845,,,,,,,,,,,,,,,
female,group B,associate's degree,free/reduced,none,53,70,70,0.899871036,,,,,,,,,,,,,,,
female,group D,high school,standard,none,67,72,74,0.900690935,,,,,,,,,,,,,,,
female,group D,associate's degree,standard,none,82,95,89,0.903004955,,,,,,,,,,,,,,,
female,group C,high school,standard,none,65,69,67,0.90554566,,,,,,,,,,,,,,,
female,group E,bachelor's degree,standard,completed,99,100,100,0.906817367,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,none,49,53,53,0.909409965,,,,,,,,,,,,,,,
female,group C,master's degree,standard,completed,81,91,87,0.910578761,,,,,,,,,,,,,,,
female,group E,bachelor's degree,free/reduced,completed,92,100,100,0.911929943,,,,,,,,,,,,,,,
female,group A,some high school,standard,none,71,83,77,0.913498153,,,,,,,,,,,,,,,
female,group B,associate's degree,free/reduced,completed,68,77,80,0.91561936,,,,,,,,,,,,,,,
female,group B,bachelor's degree,standard,none,52,65,69,0.917232467,,,,,,,,,,,,,,,
female,group C,some college,standard,completed,70,72,76,0.918466993,,,,,,,,,,,,,,,
female,group B,associate's degree,standard,none,57,69,68,0.919672848,,,,,,,,,,,,,,,
female,group D,bachelor's degree,free/reduced,none,62,72,74,0.920441057,,,,,,,,,,,,,,,
female,group B,bachelor's degree,standard,none,67,86,83,0.920468492,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,none,85,84,82,0.923179238,,,,,,,,,,,,,,,
female,group D,some college,free/reduced,none,65,81,77,0.923232783,,,,,,,,,,,,,,,
female,group C,high school,standard,none,59,72,68,0.923744363,,,,,,,,,,,,,,,
female,group D,some college,free/reduced,completed,52,59,65,0.923845386,,,,,,,,,,,,,,,
female,group E,high school,free/reduced,completed,66,74,78,0.925469245,,,,,,,,,,,,,,,
female,group D,some high school,standard,none,68,71,75,0.930165091,,,,,,,,,,,,,,,
female,group A,some college,free/reduced,none,61,60,57,0.931499021,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,completed,65,84,84,0.931564946,,,,,,,,,,,,,,,
female,group C,some high school,standard,completed,70,82,76,0.932308771,,,,,,,,,,,,,,,
female,group B,high school,free/reduced,completed,67,78,79,0.93314456,,,,,,,,,,,,,,,
female,group C,high school,free/reduced,none,53,72,64,0.934335216,,,,,,,,,,,,,,,
female,group B,some high school,standard,completed,65,82,78,0.935991716,,,,,,,,,,,,,,,
female,group D,associate's degree,free/reduced,none,56,65,63,0.936940982,,,,,,,,,,,,,,,
female,group C,high school,standard,none,72,80,75,0.937544675,,,,,,,,,,,,,,,
female,group C,some college,free/reduced,none,59,62,64,0.941664415,,,,,,,,,,,,,,,
female,group D,some high school,free/reduced,completed,40,65,64,0.941944216,,,,,,,,,,,,,,,
female,group B,associate's degree,standard,none,71,83,60,0.942439049,,,,,,,,,,,,,,,
female,group C,some high school,standard,completed,67,74,77,0.94267444,,,,,,,,,,,,,,,
female,group C,bachelor's degree,standard,none,65,79,81,0.945184949,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,none,58,73,68,0.947998457,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,none,52,55,57,0.948344841,,,,,,,,,,,,,,,
female,group A,master's degree,standard,none,50,53,58,0.952184147,,,,,,,,,,,,,,,
female,group C,high school,standard,none,60,68,72,0.953103352,,,,,,,,,,,,,,,
female,group B,associate's degree,standard,none,58,63,65,0.953215826,,,,,,,,,,,,,,,
female,group B,some college,standard,none,82,85,87,0.953967943,,,,,,,,,,,,,,,
female,group B,high school,standard,none,58,68,61,0.954512977,,,,,,,,,,,,,,,
female,group B,some high school,standard,completed,54,61,62,0.956631926,,,,,,,,,,,,,,,
female,group D,associate's degree,free/reduced,none,52,59,56,0.957091814,,,,,,,,,,,,,,,
female,group C,high school,free/reduced,none,41,46,43,0.960861959,,,,,,,,,,,,,,,
female,group D,high school,free/reduced,completed,65,61,71,0.961015002,,,,,,,,,,,,,,,
female,group B,associate's degree,standard,none,49,52,54,0.961992536,,,,,,,,,,,,,,,
female,group C,high school,standard,none,44,61,52,0.963031276,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,none,54,61,58,0.964704995,,,,,,,,,,,,,,,
female,group C,some college,standard,none,63,74,74,0.966102617,,,,,,,,,,,,,,,
female,group D,some college,free/reduced,none,64,74,75,0.968621312,,,,,,,,,,,,,,,
female,group B,master's degree,free/reduced,completed,52,70,62,0.969215067,,,,,,,,,,,,,,,
female,group D,bachelor's degree,free/reduced,none,63,73,78,0.97481527,,,,,,,,,,,,,,,
female,group B,high school,standard,none,87,95,86,0.975436986,,,,,,,,,,,,,,,
female,group C,bachelor's degree,free/reduced,completed,51,72,79,0.977376112,,,,,,,,,,,,,,,
female,group D,bachelor's degree,standard,none,59,70,73,0.979322808,,,,,,,,,,,,,,,
female,group C,bachelor's degree,standard,completed,96,100,100,0.981779376,,,,,,,,,,,,,,,
female,group B,some high school,free/reduced,completed,52,67,72,0.985215741,,,,,,,,,,,,,,,
female,group B,high school,free/reduced,none,64,73,71,0.98801572,,,,,,,,,,,,,,,
female,group E,associate's degree,standard,completed,82,85,86,0.988555367,,,,,,,,,,,,,,,
female,group C,high school,standard,none,66,71,76,0.996028519,,,,,,,,,,,,,,,
male,group D,some high school,free/reduced,completed,55,59,59,0.005719322,,,,,,,,,,,,,,,
male,group D,associate's degree,free/reduced,none,66,62,64,0.008470144,,,,,,,,,,,,,,,
male,group E,some high school,standard,none,94,88,78,0.011235175,,,,,,,,,,,,,,,
male,group B,some college,free/reduced,none,40,43,39,0.023024788,,,,,,,,,,,,,,,
male,group A,bachelor's degree,standard,completed,87,84,87,0.023484677,,,,,,,,,,,,,,,
male,group D,some college,standard,completed,71,61,69,0.028170454,,,,,,,,,,,,,,,
male,group E,some high school,standard,completed,89,84,77,0.028823199,,,,,,,,,,,,,,,
male,group D,associate's degree,standard,none,61,48,46,0.038289793,,,,,,,,,,,,,,,
male,group D,some college,standard,none,81,82,84,0.04326094,,,,,,,,,,,,,,,
male,group A,high school,standard,none,57,43,47,0.043933112,,,,,,,,,,,,,,,
male,group B,high school,free/reduced,none,66,77,70,0.045390393,,,,,,,,,,,,,,,
male,group B,high school,standard,completed,72,65,68,0.045586503,,,,,,,,,,,,,,,
male,group C,some college,free/reduced,none,80,64,66,0.046268976,,,,,,,,,,,,,,,
male,group D,bachelor's degree,standard,none,80,73,72,0.048728981,,,,,,,,,,,,,,,
male,group C,high school,standard,none,75,81,71,0.053365721,,,,,,,,,,,,,,,
male,group A,some college,standard,none,53,43,43,0.054682486,,,,,,,,,,,,,,,
male,group C,some college,free/reduced,none,74,77,73,0.055001317,,,,,,,,,,,,,,,
male,group D,some college,standard,none,71,49,52,0.055071771,,,,,,,,,,,,,,,
male,group D,some high school,free/reduced,none,45,37,37,0.055624832,,,,,,,,,,,,,,,
male,group D,bachelor's degree,free/reduced,completed,61,70,76,0.059399889,,,,,,,,,,,,,,,
male,group B,high school,standard,none,52,48,49,0.06186925,,,,,,,,,,,,,,,
male,group B,some high school,standard,completed,94,86,87,0.062596996,,,,,,,,,,,,,,,
male,group D,some high school,standard,none,84,84,80,0.065087219,,,,,,,,,,,,,,,
male,group C,associate's degree,standard,none,62,65,58,0.065743506,,,,,,,,,,,,,,,
male,group A,some college,standard,completed,61,51,52,0.065901753,,,,,,,,,,,,,,,
male,group C,associate's degree,free/reduced,completed,65,73,68,0.069159015,,,,,,,,,,,,,,,
male,group A,some high school,standard,completed,46,41,43,0.069521353,,,,,,,,,,,,,,,
male,group D,bachelor's degree,standard,none,69,58,57,0.070163458,,,,,,,,,,,,,,,
male,group C,high school,standard,none,71,66,65,0.070343331,,,,,,,,,,,,,,,
male,group B,associate's degree,free/reduced,completed,69,70,63,0.070378924,,,,,,,,,,,,,,,
male,group C,some college,standard,none,59,41,42,0.070690625,,,,,,,,,,,,,,,
male,group C,associate's degree,standard,none,47,37,35,0.070836773,,,,,,,,,,,,,,,
male,group C,high school,standard,none,61,56,55,0.073964554,,,,,,,,,,,,,,,
male,group C,bachelor's degree,free/reduced,none,53,58,55,0.075948368,,,,,,,,,,,,,,,
male,group C,some high school,standard,none,73,66,63,0.076338289,,,,,,,,,,,,,,,
male,group A,associate's degree,free/reduced,none,47,57,44,0.077292632,,,,,,,,,,,,,,,
male,group E,associate's degree,standard,completed,62,56,53,0.079812282,,,,,,,,,,,,,,,
male,group C,associate's degree,free/reduced,none,58,55,53,0.082923528,,,,,,,,,,,,,,,
male,group D,some college,free/reduced,none,69,66,60,0.083195149,,,,,,,,,,,,,,,
male,group D,associate's degree,standard,completed,87,84,85,0.083475454,,,,,,,,,,,,,,,
male,group C,master's degree,free/reduced,none,54,59,50,0.091012766,,,,,,,,,,,,,,,
male,group A,some high school,free/reduced,none,68,72,64,0.091643327,,,,,,,,,,,,,,,
male,group D,high school,free/reduced,none,74,70,69,0.095131118,,,,,,,,,,,,,,,
male,group D,some college,free/reduced,none,59,62,61,0.097332794,,,,,,,,,,,,,,,
male,group C,associate's degree,standard,none,69,77,69,0.098976212,,,,,,,,,,,,,,,
male,group A,some high school,standard,none,71,62,50,0.100204915,,,,,,,,,,,,,,,
male,group D,high school,standard,none,46,34,36,0.102908511,,,,,,,,,,,,,,,
male,group D,some high school,standard,completed,74,71,78,0.105215889,,,,,,,,,,,,,,,
male,group D,master's degree,standard,none,81,81,84,0.106734178,,,,,,,,,,,,,,,
male,group D,high school,free/reduced,none,44,51,48,0.107757429,,,,,,,,,,,,,,,
male,group D,some high school,standard,completed,89,88,82,0.108059251,,,,,,,,,,,,,,,
male,group E,high school,standard,none,84,73,69,0.108297897,,,,,,,,,,,,,,,
male,group B,some college,standard,completed,71,75,70,0.110068435,,,,,,,,,,,,,,,
male,group E,some college,standard,none,83,80,73,0.11249034,,,,,,,,,,,,,,,
male,group E,associate's degree,standard,none,76,71,67,0.112611271,,,,,,,,,,,,,,,
male,group E,associate's degree,standard,completed,97,82,88,0.113268962,,,,,,,,,,,,,,,
male,group A,bachelor's degree,standard,completed,80,78,81,0.113765644,,,,,,,,,,,,,,,
male,group E,some college,standard,completed,85,75,68,0.115241619,,,,,,,,,,,,,,,
male,group C,master's degree,free/reduced,none,79,81,71,0.117173755,,,,,,,,,,,,,,,
male,group D,some college,standard,none,88,77,77,0.117287711,,,,,,,,,,,,,,,
male,group A,associate's degree,standard,none,54,53,47,0.117416947,,,,,,,,,,,,,,,
male,group B,bachelor's degree,free/reduced,completed,87,90,88,0.118366366,,,,,,,,,,,,,,,
male,group C,associate's degree,standard,none,83,72,78,0.12074913,,,,,,,,,,,,,,,
male,group C,some college,standard,none,73,74,61,0.123747376,,,,,,,,,,,,,,,
male,group D,high school,free/reduced,none,69,70,67,0.126434524,,,,,,,,,,,,,,,
male,group D,high school,standard,none,45,48,46,0.126750633,,,,,,,,,,,,,,,
male,group C,some high school,free/reduced,none,68,63,54,0.127055024,,,,,,,,,,,,,,,
male,group D,some college,standard,completed,82,82,88,0.127152462,,,,,,,,,,,,,,,
male,group C,associate's degree,free/reduced,completed,78,81,82,0.12962683,,,,,,,,,,,,,,,
male,group B,associate's degree,standard,none,61,42,41,0.129691826,,,,,,,,,,,,,,,
male,group E,high school,standard,completed,81,80,76,0.129988895,,,,,,,,,,,,,,,
male,group C,high school,free/reduced,none,62,55,55,0.130622749,,,,,,,,,,,,,,,
male,group A,high school,standard,none,71,74,64,0.131483478,,,,,,,,,,,,,,,
male,group D,some high school,standard,completed,71,69,68,0.13453367,,,,,,,,,,,,,,,
male,group C,associate's degree,standard,none,58,54,52,0.136209483,,Cluster Probability,,,,,,,,,,,,,
male,group D,some college,standard,none,44,54,53,0.137446297,,,,,,,,,,,,,,,
male,group C,some high school,standard,none,51,52,44,0.137724984,,,,,,,,,,,,,,,
male,group D,bachelor's degree,free/reduced,none,63,66,67,0.141872926,,,,,,,,,,,,,,,
male,group D,associate's degree,standard,none,81,71,73,0.143057594,,,,,,,,,,,,,,,
male,group B,associate's degree,standard,completed,91,89,92,0.148559379,,,,,,,,,,,,,,,
male,group C,high school,standard,none,70,70,65,0.150892829,,,,,,,,,,,,,,,
male,group C,associate's degree,free/reduced,none,87,73,72,0.154525246,,,,,,,,,,,,,,,
male,group E,bachelor's degree,standard,completed,70,64,70,0.155019079,,,,,,,,,,,,,,,
male,group D,associate's degree,standard,none,75,68,64,0.155641753,,,,,,,,,,,,,,,
male,group C,high school,standard,none,90,75,69,0.158290381,,,,,,,,,,,,,,,
male,group E,some high school,free/reduced,completed,73,67,59,0.161232845,,,,,,,,,,,,,,,
male,group B,some high school,standard,none,72,68,67,0.163998299,,,,,,,,,,,,,,,
male,group C,high school,standard,none,62,55,49,0.164269811,,,,,,,,,,,,,,,
male,group B,some college,standard,none,79,67,67,0.165170187,,,,,,,,,,,,,,,
male,group B,associate's degree,standard,none,81,73,72,0.166738345,,,,,,,,,,,,,,,
male,group C,bachelor's degree,standard,none,69,63,61,0.166882525,,,,,,,,,,,,,,,
